Feature	HICTK_BUILD_TOOLS=ON	HICTK_WITH_ARROW=ON	HICTK_WITH_EIGEN=ON	HICTK_ENABLE_TESTING=ON	HICTK_ENABLE_FUZZY_TESTING=ON
arrow	N	Y	N	Y4	Y4
boost	N	Y3	N	Y4	Y4
bshoshany-thread-pool	Y	Y	Y	Y	Y
bzip2	Y1	N	N	N	N
catch2	N	N	N	Y	N
cli11	Y	N	N	N	Y
concurrentqueue	Y	Y	Y	Y	Y
eigen	N	N	Y	Y4	Y4
fast_float	Y	Y	Y	Y	Y
fmt	Y	Y	Y	Y	Y
hdf5	Y	Y	Y	Y	Y
highfive	Y	Y	Y	Y	Y
libarchive	Y	N	N	N	N
libcurl	Y2	N	N	N	N
libdeflate	Y	Y	Y	Y	Y
lz4	Y1	N	N	N	N
lzo	Y1	N	N	N	N
nlohmann_json	Y	N	N	N	N
opentelemetry-cpp	Y2	N	N	N	N
parallel-hashmap	Y	Y	Y	Y	Y
pybind11	N	N	N	N	N
readerwriterqueue	Y	Y	Y	Y	Y
span-lite	Y	Y	Y	Y	Y
spdlog	Y	Y	Y	Y	Y
tomlplusplus	Y	N	N	N	N
xz_utils	Y1	N	N	N	N
zstd	Y	Y	Y	Y	Y
zlib	Y1	N	N	N	N
