chrom1	start1	end1	chrom2	start2	end2	count	balanced
chr1	10828000	10830000	chr1	11002000	11004000	1	0.000208987
chr1	10828000	10830000	chr1	11002000	11004000	1	0.000208987
chr1	10828000	10830000	chr1	11006000	11008000	1	0.000199523
chr1	10828000	10830000	chr1	11006000	11008000	3	0.000598569
chr1	10828000	10830000	chr1	11010000	11012000	4	0.000695946
chr1	10828000	10830000	chr1	11010000	11012000	2	0.000347973
chr1	10828000	10830000	chr1	11020000	11022000	1	0.000219669
chr1	10828000	10830000	chr1	11020000	11022000	1	0.000219669
chr1	10828000	10830000	chr1	11030000	11032000	3	0.000499071
chr1	10828000	10830000	chr1	11030000	11032000	2	0.000332714
...	...	...	...	...	...	...	...
